"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","857","REG-004 - User should not be able to register successfully when city is missing","chromium","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1892","LG-001 - User should login successfully with valid credentials","chromium","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","1048","LG-004 - User should not be able to login with invalid username","chromium","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","1627","SEA-004 - User should be able to search for an item using pasted words","webkit","2026-09-21","passed","2026-09-21","Search Tests","search.spec.ts","",""
"","769","SEA-001 - User should be able to search for an existing product","chromium","2026-09-21","passed","2026-09-21","Search Tests","search.spec.ts","",""
"","682","REG-003 - User should not be able to register successfully with an empty Email Address","webkit","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","1231","REG-006 - User should not be able to register successfully with an existing account","webkit","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","670","LG-006 - User should not be able to log in with credentials that have not been registered","chromium","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","2392","REG-001 - User should be able to sign up for a new account successfully","firefox","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","911","SEA-003 - User should be able to search for a product using keywords","chromium","2026-09-21","passed","2026-09-21","Search Tests","search.spec.ts","",""
"","721","LG-002 - User should not be able to login with empty password","chromium","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","1336","REG-004 - User should not be able to register successfully when city is missing","firefox","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1340","LG-006 - User should not be able to log in with credentials that have not been registered","webkit","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","1430","REG-004 - User should not be able to register successfully when lastName is missing","firefox","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1343","REG-004 - User should not be able to register successfully when zipcode is missing","firefox","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","678","REG-003 - User should not be able to register successfully with an empty Email Address","firefox","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","1249","REG-004 - User should not be able to register successfully when password is missing","firefox","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","705","REG-004 - User should not be able to register successfully when firstName is missing","chromium","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1431","REG-004 - User should not be able to register successfully when mobileNumber is missing","webkit","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1188","LG-004 - User should not be able to login with invalid username","firefox","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","1010","SEA-002 - There should NOT be any item listed if user search for a non-existing product","firefox","2026-09-21","passed","2026-09-21","Search Tests","search.spec.ts","",""
"","872","REG-004 - User should not be able to register successfully when lastName is missing","chromium","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","911","REG-004 - User should not be able to register successfully when password is missing","chromium","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1654","REG-004 - User should not be able to register successfully when state is missing","webkit","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","405","REG-005 - User should not be able to register successfully with an invalid Email Address format","chromium","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","599","REG-006 - User should not be able to register successfully with an existing account","chromium","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","1600","REG-004 - User should not be able to register successfully when address is missing","webkit","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1034","SEA-003 - User should be able to search for a product using keywords","firefox","2026-09-21","passed","2026-09-21","Search Tests","search.spec.ts","",""
"","1818","REG-004 - User should not be able to register successfully when password is missing","webkit","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1265","REG-004 - User should not be able to register successfully when state is missing","firefox","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1424","REG-001 - User should be able to sign up for a new account successfully","chromium","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","3473","REG-001 - User should be able to sign up for a new account successfully","webkit","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","2084","REG-004 - User should not be able to register successfully when lastName is missing","webkit","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","774","SEA-004 - User should be able to search for an item using pasted words","chromium","2026-09-21","passed","2026-09-21","Search Tests","search.spec.ts","",""
"","3815","REG-004 - User should not be able to register successfully when firstName is missing","webkit","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","840","REG-005 - User should not be able to register successfully with an invalid Email Address format","webkit","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","1324","REG-004 - User should not be able to register successfully when address is missing","firefox","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1295","SEA-003 - User should be able to search for a product using keywords","webkit","2026-09-21","passed","2026-09-21","Search Tests","search.spec.ts","",""
"","748","LG-003 - User should not be able to login with empty username","chromium","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","857","REG-004 - User should not be able to register successfully when mobileNumber is missing","chromium","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","853","LG-006 - User should not be able to log in with credentials that have not been registered","firefox","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","1016","REG-006 - User should not be able to register successfully with an existing account","firefox","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","589","REG-002 - User should not be able to register successfully with an empty Name","chromium","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","2071","REG-004 - User should not be able to register successfully when city is missing","webkit","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","635","REG-004 - User should not be able to register successfully when state is missing","chromium","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","816","REG-005 - User should not be able to register successfully with an invalid Email Address format","firefox","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","849","LG-005 - User should not be able to login with invalid password","chromium","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","975","LG-005 - User should not be able to login with invalid password","webkit","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","1267","REG-004 - User should not be able to register successfully when firstName is missing","firefox","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","5193","LG-001 - User should login successfully with valid credentials","webkit","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","905","REG-004 - User should not be able to register successfully when address is missing","chromium","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","785","LG-003 - User should not be able to login with empty username","webkit","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","1210","SEA-001 - User should be able to search for an existing product","firefox","2026-09-21","passed","2026-09-21","Search Tests","search.spec.ts","",""
"","870","REG-004 - User should not be able to register successfully when zipcode is missing","chromium","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1039","SEA-004 - User should be able to search for an item using pasted words","firefox","2026-09-21","passed","2026-09-21","Search Tests","search.spec.ts","",""
"","1288","REG-004 - User should not be able to register successfully when mobileNumber is missing","firefox","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1563","SEA-002 - There should NOT be any item listed if user search for a non-existing product","webkit","2026-09-21","passed","2026-09-21","Search Tests","search.spec.ts","",""
"","771","REG-002 - User should not be able to register successfully with an empty Name","firefox","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","2291","LG-001 - User should login successfully with valid credentials","firefox","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","1450","SEA-001 - User should be able to search for an existing product","webkit","2026-09-21","passed","2026-09-21","Search Tests","search.spec.ts","",""
"","1246","REG-004 - User should not be able to register successfully when zipcode is missing","webkit","2026-09-21","passed","2026-09-21","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","844","LG-005 - User should not be able to login with invalid password","firefox","2026-09-21","passed","2026-09-21","Login Tests","login.spec.ts","",""
"","666","SEA-002 - There should NOT be any item listed if user search for a non-existing product","chromium","2026-09-21","passed","2026-09-21","Search Tests","search.spec.ts","",""
"","691","REG-002 - User should not be able to register successfully with an empty Name","webkit","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
"","692","REG-003 - User should not be able to register successfully with an empty Email Address","chromium","2026-09-21","passed","2026-09-21","Register Tests","register.spec.ts","",""
